Cycle ID,Cycle time [mS],Origin Addr,Destiny Addr,Distance (m),RX Power (dBm),Active
137,541,B4,B2,-999.00,-999.00,0
138,432,C1,B3,-999.00,-999.00,0
138,432,C1,B4,9.92,-94.07,1
138,432,B3,B2,26.74,-100.01,1
138,432,B3,B4,13.49,-91.26,1
138,432,C1,B2,6.61,-98.07,1
138,432,B4,B2,-999.00,-999.00,0
139,541,C1,B3,-999.00,-999.00,0
139,541,C1,B4,9.25,-97.40,1
139,541,B3,B2,26.87,-95.78,1
139,541,B3,B4,13.42,-93.31,1
139,541,C1,B2,7.31,-92.05,1
139,541,B4,B2,-999.00,-999.00,0
140,948,C1,B3,-999.00,-999.00,0
140,948,C1,B4,8.68,-90.66,1
140,948,B3,B2,-999.00,-999.00,0
140,948,B3,B4,-999.00,-999.00,0
140,948,C1,B2,7.72,-90.32,1
140,948,B4,B2,-999.00,-999.00,0
141,1010,C1,B3,-999.00,-999.00,0
141,1010,C1,B4,236.10,-90.08,1
141,1010,B3,B2,26.99,-96.33,1
141,1010,B3,B4,-999.00,-999.00,0
141,1010,C1,B2,8.77,-94.31,1
141,1010,B4,B2,-999.00,-999.00,0
142,1589,C1,B3,-999.00,-999.00,0
142,1589,C1,B4,-999.00,-999.00,0
142,1589,B3,B2,-999.00,-999.00,0
142,1589,B3,B4,-999.00,-999.00,0
142,1589,C1,B2,11.75,-96.06,1
142,1589,B4,B2,-999.00,-999.00,0
143,374,C1,B3,-999.00,-999.00,0
143,374,C1,B4,-999.00,-999.00,0
143,374,B3,B2,26.85,-96.16,1
143,374,B3,B4,13.48,-92.42,1
143,374,C1,B2,12.11,-85.25,1
143,374,B4,B2,-999.00,-999.00,0
144,489,C1,B3,-999.00,-999.00,0
144,489,C1,B4,-999.00,-999.00,0
144,489,B3,B2,26.86,-100.14,1
144,489,B3,B4,-999.00,-999.00,0
144,489,C1,B2,12.55,-93.96,1
144,489,B4,B2,-999.00,-999.00,0
145,385,C1,B3,-999.00,-999.00,0
145,385,C1,B4,-999.00,-999.00,0
145,385,B3,B2,26.94,-98.51,1
145,385,B3,B4,13.47,-92.04,1
